,0,1,2,3,4
0,8.011168766371227e-08,1.0,0.0,1.0,0.0
1,1.0,2.0,0.0,0.32960745782274004,0.0
2,0.32960745782274004,0.0,0.0,2.7637810113927168e-18,0.0
3,2.7637810113927168e-18,2.0,0.0,0.2689414213699951,0.0
4,0.2689414213699951,2.0,16.0,6.789367384824102e-06,0.0
5,6.789367384824102e-06,1.0,0.0,2.529833266440292e-07,0.0
6,2.529833266440292e-07,2.0,0.0,1.8327277682504119e-37,0.0
7,1.8327277682504119e-37,2.0,0.0,1.0,0.0
8,1.0,0.0,0.0,4.367365438738368e-21,0.0
9,4.367365438738368e-21,1.0,0.0,2.6664279154252617e-08,0.0
10,2.6664279154252617e-08,1.0,0.0,1.0,0.0
11,1.0,2.0,23.0,0.9999999999997722,0.0
12,0.9999999999997722,2.0,70.0,0.9999999999996319,0.0
13,0.9999999999996319,1.0,0.0,3.036248519086452e-08,0.0
14,3.036248519086452e-08,0.0,0.0,0.9999997617630899,0.0
15,0.9999997617630899,1.0,0.0,0.9999999640052246,0.0
16,0.9999999640052246,2.0,15.0,1.0,0.0
17,1.0,2.0,75.0,0.0008581998430347473,0.0
18,0.0008581998430347473,1.0,0.0,6.116274173310252e-12,0.0
19,6.116274173310252e-12,1.0,0.0,1.603202565039822e-24,0.0
20,1.603202565039822e-24,0.0,0.0,0.017292493812353732,0.0
21,0.017292493812353732,2.0,0.0,1.13135025557178e-09,0.0
22,1.13135025557178e-09,1.0,0.0,0.9999999999996281,0.0
23,0.9999999999996281,0.0,0.0,0.9976943147252095,0.0
24,0.9976943147252095,2.0,0.0,1.668060976429938e-20,0.0
25,1.668060976429938e-20,2.0,0.0,6.152048069858711e-22,0.0
26,6.152048069858711e-22,2.0,0.0,0.999677807461174,0.0
27,0.999677807461174,1.0,0.0,2.8599602191664508e-08,0.0
28,2.8599602191664508e-08,2.0,0.0,1.0,0.0
29,1.0,2.0,0.0,0.9998367347335808,0.0
30,0.9998367347335808,0.0,0.0,1.0,0.0
31,1.0,0.0,0.0,0.002497436283000555,0.0
32,0.002497436283000555,1.0,0.0,0.9999999998072975,0.0
33,0.9999999998072975,0.0,0.0,0.9999999999999234,0.0
34,0.9999999999999234,1.0,0.0,6.0095250557676365e-40,0.0
35,6.0095250557676365e-40,1.0,0.0,0.016141190174645728,0.0
36,0.016141190174645728,0.0,0.0,4.96547818398417e-28,0.0
37,4.96547818398417e-28,0.0,0.0,0.9904336675756129,0.0
38,0.9904336675756129,0.0,0.0,0.28091205846222794,0.0
39,0.28091205846222794,2.0,0.0,0.9999993778220068,0.0
40,0.9999993778220068,0.0,0.0,0.3705101242684128,0.0
41,0.3705101242684128,1.0,0.0,1.0690645843310532e-22,0.0
42,1.0690645843310532e-22,2.0,0.0,3.4974433559966575e-24,0.0
43,3.4974433559966575e-24,2.0,0.0,0.5547720721180063,0.0
44,0.5547720721180063,2.0,0.0,9.455349574664242e-18,0.0
45,9.455349574664242e-18,2.0,0.0,6.7294450013752906e-18,0.0
46,6.7294450013752906e-18,2.0,0.0,8.668121831232978e-23,0.0
47,8.668121831232978e-23,2.0,0.0,3.5076584157208437e-29,0.0
48,3.5076584157208437e-29,2.0,0.0,1.0,0.0
49,1.0,2.0,0.0,0.9999999993342634,0.0
50,0.9999999993342634,2.0,0.0,0.043517971882226086,0.0
51,0.043517971882226086,2.0,0.0,0.9999999993208017,0.0
52,0.9999999993208017,1.0,0.0,0.9600720211034133,0.0
53,0.9600720211034133,0.0,0.0,1.030105795288586e-27,0.0
54,1.030105795288586e-27,0.0,0.0,1.0,0.0
55,1.0,2.0,25.0,0.9999999804443193,0.0
56,0.9999999804443193,1.0,0.0,0.9999999999816238,0.0
57,0.9999999999816238,2.0,24.0,0.9999738084885945,0.0
58,0.9999738084885945,2.0,0.0,0.9999915381307898,0.0
59,0.9999915381307898,2.0,0.0,0.4061551163530904,1.0
60,0.5,1.0,0.0,0.6856865795890735,0.0
61,0.6856865795890735,0.0,0.0,0.9999999330968019,0.0
62,0.9999999330968019,2.0,17.0,2.4728024068345946e-06,0.0
63,2.4728024068345946e-06,0.0,0.0,0.5963156788226092,0.0
64,0.5963156788226092,1.0,0.0,0.008162174461485027,0.0
65,0.008162174461485027,1.0,0.0,0.0002974779295298092,0.0
66,0.0002974779295298092,2.0,0.0,2.619151140539932e-05,0.0
67,2.619151140539932e-05,2.0,0.0,0.0017090331201691435,0.0
68,0.0017090331201691435,1.0,0.0,0.9957218658536113,0.0
69,0.9957218658536113,1.0,0.0,0.9999787686401608,0.0
70,0.9999787686401608,2.0,16.0,0.7369215180496853,0.0
71,0.7369215180496853,0.0,0.0,0.9999997641359449,0.0
72,0.9999997641359449,1.0,0.0,0.6899847486994287,0.0
73,0.6899847486994287,1.0,0.0,9.40037563782703e-08,0.0
74,9.40037563782703e-08,0.0,0.0,0.9999998163088797,0.0
75,0.9999998163088797,0.0,0.0,0.9744165194976072,0.0
76,0.9744165194976072,1.0,0.0,0.9999999998746674,0.0
77,0.9999999998746674,2.0,53.0,0.25349125617028445,0.0
78,0.25349125617028445,2.0,25.0,3.363852269049368e-05,0.0
79,3.363852269049368e-05,2.0,14.0,0.02166703682342245,0.0
80,0.02166703682342245,2.0,7.0,6.839872313941913e-05,0.0
